time,open,high,low,close,vwap,volume,count
1655251200,1206.77,1243.58,1014.15,1236.91,1100.52,6242.95020909,2601
1655337600,1237.98,1260.07,1052.26,1066.02,1168.35,1948.22099036,1376
1655424000,1062.35,1115.12,1051.02,1086.27,1084.44,1435.06825599,954
1655510400,1085.15,1094.37,880.90,997.70,955.34,12734.71723761,4283
1655596800,991.29,1156.34,936.24,1127.66,1068.58,3023.02170191,1941
1655683200,1119.95,1167.34,1053.25,1130.13,1110.96,4293.25387903,1644
1655769600,1124.91,1191.00,1112.42,1119.32,1153.59,1570.44641071,1009
1655856000,1123.89,1123.97,1043.84,1049.06,1092.87,1830.28422099,875
1655942400,1057.66,1151.23,1057.66,1143.73,1103.26,830.24557149,655
1656028800,1149.20,1243.58,1131.23,1224.43,1192.85,1196.79230810,879
1656115200,1222.72,1256.45,1180.75,1243.84,1231.54,911.37898858,629
1656201600,1241.48,1278.31,1195.00,1198.38,1239.16,2538.10124141,966
1656288000,1199.38,1235.39,1173.53,1191.41,1197.54,415.04906988,520
1656374400,1190.72,1234.47,1136.19,1141.33,1188.73,897.70009177,840
1656460800,1141.88,1152.18,1086.18,1094.00,1115.60,1348.04470879,947
1656547200,1097.35,1100.70,991.29,1068.81,1036.46,3519.65333502,1556
1656633600,1064.87,1151.23,1033.41,1054.30,1089.52,2680.63220340,1298
1656720000,1053.54,1076.97,1028.34,1067.50,1046.58,151.86856761,238
1656806400,1061.48,1085.54,1028.66,1071.08,1055.16,837.74959451,494
1656892800,1072.99,1157.73,1045.64,1153.00,1100.49,679.81771995,619
1656979200,1158.18,1170.28,1079.06,1132.31,1138.72,1095.76179328,729
1657065600,1132.39,1192.37,1111.89,1187.45,1169.11,796.07422921,639
1657152000,1187.50,1251.84,1163.00,1241.42,1220.47,1350.82826135,644
1657238400,1236.34,1273.60,1192.60,1211.75,1234.26,2502.75035166,888
1657324800,1214.10,1230.77,1205.86,1219.00,1215.43,904.53820251,376
1657411200,1216.07,1218.11,1155.26,1166.71,1185.88,925.27167961,515
1657497600,1166.28,1170.07,1091.75,1096.48,1142.51,936.48889399,490
1657584000,1094.37,1096.00,1033.22,1034.20,1061.63,1008.42404354,610
1657670400,1042.15,1119.31,1007.48,1114.61,1069.62,939.29035496,1097
1657756800,1119.59,1212.47,1071.68,1192.83,1146.99,1058.59043843,788
1657843200,1187.64,1284.69,1182.43,1237.18,1216.81,2385.23855813,940
1657929600,1235.23,1424.41,1192.95,1358.21,1311.72,1875.04883296,1306
1658016000,1355.93,1386.04,1322.32,1337.22,1346.31,1262.14834068,940
1658102400,1338.27,1595.63,1338.27,1589.67,1473.88,4203.23343788,2522
1658188800,1585.43,1629.42,1494.74,1544.33,1553.21,2739.05324666,1912
1658275200,1540.86,1624.58,1487.23,1519.67,1559.36,2677.21098647,1889
1658361600,1528.87,1603.72,1467.21,1579.82,1526.83,1309.55995489,1254
1658448000,1573.53,1646.17,1494.51,1533.00,1563.76,1957.92598295,1289
1658534400,1532.36,1597.07,1489.46,1547.64,1542.03,883.41959989,720
1658620800,1555.13,1663.92,1548.87,1595.56,1601.95,1364.08876482,892
1658707200,1595.96,1605.03,1437.42,1442.40,1512.15,1679.20618457,1715
1658793600,1437.78,1453.17,1358.12,1447.46,1394.01,1478.37632417,1490
1658880000,1452.96,1651.85,1422.87,1638.89,1552.25,1629.11312519,1660
1658966400,1637.29,1783.00,1594.54,1724.05,1701.56,2562.31740536,2153
1659052800,1725.61,1764.73,1657.64,1727.14,1705.40,1233.91949248,1378
1659139200,1726.65,1742.17,1675.93,1696.22,1715.29,442.52939313,626
1659225600,1698.56,1753.43,1669.34,1683.14,1710.21,683.26525304,587
1659312000,1678.23,1702.22,1610.00,1634.47,1645.00,899.29445252,1011
1659398400,1630.98,1676.63,1562.00,1632.42,1618.29,636.85762524,1230
1659484800,1633.66,1682.99,1592.47,1620.68,1650.71,447.47663787,877
1659571200,1616.96,1660.80,1545.00,1610.76,1610.63,634.34628836,1077
1659657600,1608.70,1737.09,1607.94,1736.11,1681.03,1231.40506136,1497
1659744000,1736.90,1748.04,1689.57,1691.75,1726.17,420.65349278,625
1659830400,1693.46,1727.08,1671.00,1696.75,1697.83,196.66768978,422
1659916800,1700.82,1819.97,1696.66,1770.90,1774.08,1541.80348110,1442
1660003200,1778.76,1789.99,1670.28,1704.00,1721.12,1759.34640704,1341
1660089600,1700.49,1900.00,1656.00,1851.48,1816.79,1975.68027198,2738
1660176000,1852.53,2020.47,1852.53,1882.41,1919.91,4316.72139150,2619
1660262400,1881.74,1964.02,1854.54,1959.54,1914.34,854.71832846,1279
1660348800,1959.79,2024.86,1949.19,1982.57,1989.12,1966.75851612,1406
1660435200,1979.01,2032.58,1908.62,1937.82,1977.85,1868.65446924,1654
1660521600,1931.69,2011.48,1873.45,1899.62,1928.26,1907.74921722,1324
1660608000,1899.62,1913.28,1854.63,1876.90,1885.81,761.56904907,793
1660694400,1881.32,1955.03,1816.14,1833.03,1870.52,1487.40729241,1536
1660780800,1838.20,1877.80,1822.78,1846.57,1860.75,1270.38885660,947
1660867200,1844.19,1844.19,1604.73,1610.00,1727.57,3540.14160669,2541
1660953600,1607.54,1651.96,1525.12,1575.70,1600.12,1158.63267139,1252
1661040000,1580.00,1644.50,1564.87,1621.50,1607.18,904.68143243,1142
1661126400,1615.14,1627.74,1531.26,1625.35,1577.04,1364.04212169,1381
1661212800,1617.55,1673.39,1565.90,1668.74,1635.14,2147.71805098,1226
1661299200,1651.49,1691.14,1607.11,1655.34,1657.93,1358.01256848,872
1661385600,1658.30,1721.38,1654.85,1697.64,1694.84,1926.21815688,777
1661472000,1685.23,1706.72,1489.00,1505.86,1625.86,2624.13484860,2352
