time,open,high,low,close,vwap,volume,count
1655251200,1209.24,1248.00,1015.90,1237.54,1117.72,12856.05817398,9143
1655337600,1237.46,1258.02,1053.57,1067.32,1129.42,3646.77364990,3361
1655424000,1068.66,1116.93,1052.41,1086.68,1088.50,1009.38343370,1609
1655510400,1086.53,1095.42,882.65,997.00,975.93,11849.18335034,6331
1655596800,996.48,1157.83,936.57,1128.76,1060.30,6572.46443125,4782
1655683200,1129.34,1169.74,1054.71,1128.81,1108.96,3266.07603899,2756
1655769600,1130.05,1192.89,1111.07,1127.30,1151.62,2475.22423891,2118
1655856000,1123.27,1125.42,1045.00,1050.00,1087.00,1670.97356997,1838
1655942400,1049.49,1153.66,1046.17,1145.39,1110.10,1531.19737440,1771
1656028800,1144.90,1244.64,1132.72,1225.48,1198.25,3823.81375773,2714
1656115200,1224.90,1256.09,1181.22,1247.40,1210.95,2396.77134811,1751
1656201600,1241.62,1279.00,1196.00,1198.39,1239.31,3093.58959318,2070
1656288000,1197.73,1237.94,1174.54,1191.92,1195.28,2998.67361566,1975
1656374400,1192.10,1237.92,1139.09,1142.00,1182.81,2681.94572630,2072
1656460800,1145.16,1155.62,1088.33,1097.26,1123.55,2936.91893919,2026
1656547200,1099.02,1106.33,999.28,1069.52,1045.38,4886.53205424,3291
1656633600,1066.70,1114.16,1034.96,1056.38,1070.94,3735.03629930,3400
1656720000,1055.31,1078.40,1030.00,1067.65,1056.57,1363.47429236,1307
1656806400,1069.04,1087.07,1041.33,1074.29,1059.35,1288.93012921,1220
1656892800,1074.29,1160.81,1046.44,1153.30,1098.50,2003.98906305,2100
1656979200,1150.09,1173.01,1078.70,1133.72,1129.13,3169.47222264,2514
1657065600,1136.51,1195.00,1112.28,1187.65,1146.49,1723.83641578,2092
1657152000,1186.73,1255.02,1164.00,1239.59,1214.37,2857.99425500,2153
1657238400,1237.98,1275.00,1193.78,1212.89,1227.94,2912.21798146,2602
1657324800,1214.38,1235.94,1204.94,1216.36,1220.68,1183.80383693,972
1657411200,1216.73,1218.07,1154.39,1168.50,1182.63,2698.39935350,1761
1657497600,1168.03,1170.89,1092.47,1095.40,1136.93,2667.28988471,2082
1657584000,1095.16,1097.56,1034.31,1038.48,1070.46,1990.38864026,2051
1657670400,1040.13,1119.02,1007.88,1119.02,1053.50,4756.17098243,3585
1657756800,1115.14,1214.69,1072.96,1192.99,1137.93,3785.20879111,2677
1657843200,1191.69,1288.34,1180.84,1236.37,1212.84,5017.55201803,2801
1657929600,1230.89,1421.61,1193.01,1356.74,1306.36,4173.90641051,3256
1658016000,1356.29,1384.61,1318.85,1337.95,1353.81,2100.75656844,2382
1658102400,1338.53,1595.07,1337.74,1582.72,1484.66,6434.14636109,4627
1658188800,1582.37,1632.12,1494.04,1544.80,1550.45,4315.30694146,4488
1658275200,1542.74,1620.00,1484.10,1519.76,1559.33,3505.75343710,4229
1658361600,1520.65,1603.98,1465.00,1577.84,1528.15,2652.44005617,2661
1658448000,1574.57,1644.69,1518.00,1535.70,1589.82,2370.26627436,2816
1658534400,1534.85,1595.06,1489.24,1551.16,1521.83,2171.96010593,1919
1658620800,1549.65,1663.00,1547.99,1597.33,1602.15,1869.24629322,2173
1658707200,1597.43,1609.12,1434.93,1438.61,1508.19,2420.03417965,2842
1658793600,1439.98,1453.11,1358.00,1451.18,1399.71,1841.72477799,2615
1658880000,1450.13,1642.85,1423.00,1637.71,1520.16,3046.10039178,3970
1658966400,1637.71,1784.81,1596.25,1725.22,1680.71,3167.90932363,4051
1659052800,1723.63,1764.61,1657.69,1722.61,1709.77,3205.26888975,3043
1659139200,1721.48,1742.78,1672.21,1695.65,1713.03,1716.17063356,2012
