time,open,high,low,close,vwap,volume,count
1655251200,22108.99,22750.00,20095.03,22534.29,21134.13,704.75600508,5946
1655337600,22581.44,22922.33,20203.09,20375.14,21475.83,412.07156668,3875
1655424000,20308.51,21317.52,20208.80,20439.21,20715.92,225.54329203,3411
1655510400,20439.21,20723.36,17576.51,18980.74,18965.61,641.09495126,6769
1655596800,18958.74,20761.16,17959.40,20581.49,19425.74,279.25229467,4552
1655683200,20584.52,21002.00,19626.11,20550.10,20263.14,342.21175744,4526
1655769600,20550.80,21681.25,20356.96,20702.18,21088.98,187.77720125,2851
1655856000,20682.06,20862.54,19773.04,19926.38,20302.53,130.17327053,2970
1655942400,19957.80,21160.11,19883.33,21090.91,20426.66,473.90591587,3139
1656028800,21058.03,21500.00,20746.29,21225.08,21144.25,217.79640985,2510
1656115200,21215.77,21574.35,20899.80,21530.50,21268.17,88.19179052,1610
1656201600,21473.71,21853.08,20981.30,20987.72,21400.75,113.88558080,1775
1656288000,21014.63,21495.11,20519.00,20708.68,21182.57,288.95171486,2515
1656374400,20776.61,21178.99,20193.13,20256.33,20685.02,125.32512565,2019
1656460800,20266.55,20396.95,19855.00,20083.72,20102.64,254.69108420,2743
1656547200,20077.15,20117.84,18642.87,19925.71,19283.42,266.99632027,6213
1656633600,19928.41,20842.06,18980.07,19235.37,19613.03,170.74463493,3393
1656720000,19268.45,19406.37,18979.76,19238.53,19201.70,57.02070748,1165
1656806400,19249.99,19600.60,18779.29,19292.66,19233.29,136.42522086,1971
1656892800,19294.59,20324.00,19056.29,20205.42,19750.38,179.03914028,2381
1656979200,20181.66,20686.80,19300.00,20185.88,20036.50,259.39956183,3318
1657065600,20178.50,20570.72,19786.19,20552.34,20147.32,111.22985359,2350
1657152000,20563.48,21842.70,20257.90,21636.45,21073.84,181.97709669,2239
1657238400,21639.98,22468.24,21162.90,21596.67,21728.55,194.05779378,2661
1657324800,21591.74,21937.46,21343.35,21579.20,21606.84,44.87699255,1287
1657411200,21593.69,21596.59,20667.16,20853.08,21059.39,77.56217626,1686
1657497600,20809.90,20812.42,19877.47,19945.15,20421.47,85.24372521,1900
1657584000,19945.00,20029.27,19255.80,19303.86,19752.27,93.31266066,1968
1657670400,19311.24,20301.33,18870.00,20226.75,19634.35,209.32989214,2975
1657756800,20221.96,20859.39,19645.47,20570.31,20113.18,164.88824841,2160
1657843200,20577.54,21188.83,20397.02,20844.17,20836.72,127.81227387,1916
1657929600,20804.99,21597.05,20481.48,21197.43,21059.28,114.63749111,1559
1658016000,21197.44,21650.00,20773.90,20830.19,21225.64,59.47139187,1384
1658102400,20788.35,22750.00,20775.75,22483.31,22040.92,289.97645468,4176
1658188800,22459.26,23777.23,21608.27,23375.23,22750.62,274.22996757,4686
1658275200,23393.87,24252.11,22900.11,23219.71,23512.47,245.78225593,4067
1658361600,23214.67,23410.49,22350.00,23159.13,22841.63,214.53708455,3367
1658448000,23154.37,23749.08,22523.58,22680.37,23244.09,163.69437562,2390
1658534400,22672.01,23004.12,21965.89,22474.22,22393.34,103.63119413,1961
1658620800,22465.51,22989.31,22316.86,22581.54,22654.91,54.31947110,1462
1658707200,22595.88,22602.25,21277.69,21302.37,21976.66,119.26753192,2421
1658793600,21300.04,21310.51,20748.27,21276.94,21003.49,114.08815706,2103
1658880000,21276.79,23100.00,21055.95,22966.93,22077.32,159.60100017,2871
1658966400,22968.07,24171.57,22594.51,23859.65,23353.05,202.55804853,3379
1659052800,23868.38,24451.80,23419.63,23792.72,23882.37,115.85562685,2495
1659139200,23784.63,24692.58,23546.59,23657.56,24158.12,94.04332939,2006
1659225600,23652.16,24169.07,23217.50,23300.99,23763.07,67.13137752,1469
1659312000,23288.97,23495.13,22846.42,23323.47,23095.09,120.20713187,2281
1659398400,23269.96,23482.92,22685.30,22985.50,22988.42,47.70079149,1856
1659484800,22985.51,23639.03,22723.07,22810.21,23298.79,76.66347456,1729
1659571200,22838.74,23227.91,22403.00,22623.82,22773.91,75.61331502,1454
1659657600,22614.13,23457.39,22614.13,23307.80,23121.79,127.07569517,1834
1659744000,23312.49,23328.86,22950.00,22979.31,23184.73,29.14664637,760
1659830400,22965.36,23400.00,22867.31,23181.09,23099.84,44.96666199,951
1659916800,23191.00,24244.54,23191.00,23787.88,23874.19,164.52430621,2141
1660003200,23819.01,23904.17,22896.33,23157.06,23389.90,92.61492356,1348
1660089600,23131.34,24268.50,22681.04,23964.94,23580.26,200.31525018,2394
1660176000,23970.54,24904.18,23885.91,23946.66,24478.93,185.44250113,2242
1660262400,23951.11,24481.68,23627.86,24421.21,23972.90,131.28845235,1526
1660348800,24421.20,25000.00,24316.99,24451.98,24544.93,115.80581404,1452
1660435200,24439.42,25015.29,24174.36,24313.72,24477.00,72.26941404,1441
1660521600,24304.12,25194.81,23749.44,24100.47,24396.50,73.80606807,1828
1660608000,24099.92,24237.97,23700.00,23875.75,23907.98,107.13804958,1528
1660694400,23849.53,24439.57,23200.00,23332.03,23755.57,112.72144857,2019
1660780800,23332.99,23590.39,23139.84,23200.68,23352.03,76.91337436,1373
1660867200,23151.83,23151.83,20810.10,20860.26,22094.56,325.49428837,3979
1660953600,20858.06,21373.18,20796.23,21160.14,21202.48,69.53760979,1493
1661040000,21129.79,21767.26,21078.91,21521.63,21457.70,62.23739783,1191
1661126400,21521.17,21521.17,20912.52,21404.31,21185.28,39.66803803,1560
1661212800,21394.53,21683.56,20921.12,21530.00,21427.24,95.92566301,1621
1661299200,21527.20,21888.00,21172.44,21379.48,21535.59,37.88366351,1360
1661385600,21379.48,21795.91,21329.24,21594.31,21552.87,124.45355249,1515
1661472000,21581.65,21850.15,20138.60,20234.50,20913.97,225.99544463,2937
1661558400,20230.12,20347.88,19791.12,20028.59,20068.63,151.02970314,1798
1661644800,20023.02,20166.03,19531.39,19551.80,19890.91,103.87967829,1554
